"game_date","period","H","TB","AB","BB","HR","K","SF","AVG","SLG","OBP","OPS","BABIP","Kpct","BBpct"
2025-03-27,"Before",0,0,3,1,0,2,0,0,0,0.25,0.25,0,0.5,0.25
2025-03-28,"Before",1,1,4,0,0,0,0,0.25,0.25,0.25,0.5,0.25,0,0
2025-03-29,"Before",0,0,4,0,0,1,0,0,0,0,0,0,0.25,0
2025-03-31,"Before",1,1,4,0,0,3,0,0.25,0.25,0.25,0.5,1,0.75,0
2025-04-02,"Before",3,6,4,0,1,1,0,0.75,1.5,0.75,2.25,1,0.25,0
2025-04-03,"Before",0,0,4,0,0,2,0,0,0,0,0,0,0.5,0
2025-04-04,"Before",2,5,5,0,1,1,0,0.4,1,0.4,1.4,0.333333333333333,0.2,0
2025-04-06,"Before",2,3,8,1,0,1,0,0.25,0.375,0.333333333333333,0.708333333333333,0.285714285714286,0.111111111111111,0.111111111111111
2025-04-07,"Before",1,1,4,0,0,1,0,0.25,0.25,0.25,0.5,0.333333333333333,0.25,0
2025-04-08,"Before",2,2,4,0,0,1,0,0.5,0.5,0.5,1,0.666666666666667,0.25,0
2025-04-09,"Before",0,0,4,0,0,2,0,0,0,0,0,0,0.5,0
2025-04-10,"Before",2,2,5,0,0,2,0,0.4,0.4,0.4,0.8,0.666666666666667,0.4,0
2025-04-11,"Before",1,1,4,0,0,1,0,0.25,0.25,0.25,0.5,0.333333333333333,0.25,0
2025-04-12,"Before",2,2,4,0,0,2,0,0.5,0.5,0.5,1,1,0.5,0
2025-04-13,"Before",3,7,4,0,1,0,0,0.75,1.75,0.75,2.5,0.666666666666667,0,0
2025-04-14,"Before",1,1,4,0,0,2,0,0.25,0.25,0.25,0.5,0.5,0.5,0
2025-04-15,"Before",2,2,5,0,0,1,0,0.4,0.4,0.4,0.8,0.5,0.2,0
2025-04-16,"Before",0,0,3,1,0,1,0,0,0,0.25,0.25,0,0.25,0.25
2025-04-18,"Before",3,9,4,0,2,0,0,0.75,2.25,0.75,3,0.5,0,0
2025-04-19,"Before",1,1,4,0,0,1,0,0.25,0.25,0.25,0.5,0.333333333333333,0.25,0
2025-04-21,"Before",3,3,4,0,0,0,0,0.75,0.75,0.75,1.5,0.75,0,0
2025-04-22,"Before",0,0,5,0,0,3,0,0,0,0,0,0,0.6,0
2025-04-23,"Before",0,0,3,1,0,2,0,0,0,0.25,0.25,0,0.5,0.25
2025-04-24,"Before",0,0,4,0,0,2,0,0,0,0,0,0,0.5,0
2025-04-26,"Before",1,1,9,1,0,2,0,0.111111111111111,0.111111111111111,0.2,0.311111111111111,0.142857142857143,0.2,0.1
2025-04-27,"Before",0,0,4,1,0,2,0,0,0,0.2,0.2,0,0.4,0.2
2025-04-29,"Before",1,1,4,0,0,0,0,0.25,0.25,0.25,0.5,0.25,0,0
2025-04-30,"Before",0,0,5,0,0,1,0,0,0,0,0,0,0.2,0
2025-05-01,"Before",1,1,4,0,0,1,0,0.25,0.25,0.25,0.5,0.333333333333333,0.25,0
2025-05-02,"Before",2,2,4,0,0,0,0,0.5,0.5,0.5,1,0.5,0,0
2025-05-03,"Before",1,1,4,0,0,3,0,0.25,0.25,0.25,0.5,1,0.75,0
2025-05-06,"Before",0,0,4,0,0,3,0,0,0,0,0,0,0.75,0
2025-05-07,"Before",0,0,4,0,0,1,0,0,0,0,0,0,0.25,0
2025-05-08,"Before",1,1,3,1,0,1,0,0.333333333333333,0.333333333333333,0.5,0.833333333333333,0.5,0.25,0.25
2025-05-09,"Before",0,0,5,0,0,1,0,0,0,0,0,0,0.2,0
2025-05-10,"Before",1,4,5,0,1,4,0,0.2,0.8,0.2,1,NA,0.8,0
2025-05-11,"Before",1,1,4,0,0,0,0,0.25,0.25,0.25,0.5,0.25,0,0
2025-05-12,"Before",0,0,3,0,0,2,0,0,0,0,0,0,0.666666666666667,0
